user_id,user_name,gender,age,register_time,register_channel,user_region_id,user_province_name,user_region_level,user_province_population,user_province_gdp,total_purchase_times,total_purchase_amount,last_purchase_time,click_count,cart_count
100001,changlei,M,57,2024/11/23 4:03,App Store,23,云南省,二线,5055,27159,7,1919.83,2024/12/27 23:59,126,21
100002,jungao,F,43,2024/1/13 10:00,Web,9,黑龙江省,二线,4926,79092,1,315.54,2024/7/8 23:59,16,7
100003,zhengxia,F,39,2024/5/5 8:07,Android Market,20,海南省,二线,5551,78148,6,1699.64,2024/11/27 23:59,90,24
100004,yanping,Unknown,58,2024/3/12 3:43,Android Market,1,北京市,一线,7770,75725,2,888.16,2024/9/24 23:59,20,14
100005,changgang,F,28,2024/12/12 19:51,Web,8,吉林省,二线,966,21394,8,2699.37,2024/12/29 23:59,152,56
100006,junwang,M,35,2024/2/14 21:29,WeChat,1,北京市,一线,7770,75725,2,645.13,2024/9/15 23:59,12,12
100007,xiejuan,M,24,2024/8/4 1:09,Android Market,18,湖南省,新一线,2933,86552,6,1489.5,2024/12/10 23:59,66,36
100008,cjiang,M,43,2024/1/16 3:24,Android Market,6,山西省,二线,6234,76803,4,467.65,2024/10/22 23:59,20,20
100009,chao26,M,58,2024/4/21 8:28,Android Market,7,辽宁省,新一线,6765,41551,9,1779.56,2024/12/6 23:59,45,63
100010,lei23,F,26,2024/9/15 21:55,Referral,6,山西省,二线,6234,76803,4,1943.01,2024/12/10 23:59,72,8
100011,guiying16,M,43,2024/1/14 20:26,Web,16,河南省,新一线,11083,83969,4,835.62,2024/10/22 23:59,52,24
100012,moming,M,30,2024/4/11 23:39,WeChat,8,吉林省,二线,966,21394,6,661.77,2024/11/24 23:59,108,12
100013,fang78,Unknown,19,2024/12/25 19:50,Android Market,1,北京市,一线,7770,75725,6,2518.84,2024/12/31 23:59,36,30
100014,qiangang,M,27,2024/8/2 8:01,Android Market,28,内蒙古自治区,二线,9774,99475,1,121.19,2024/10/17 23:59,15,4
100015,yang95,Unknown,32,2024/8/17 21:27,Referral,22,贵州省,二线,1684,58555,2,981.02,2024/11/16 23:59,14,14
100016,yandeng,F,43,2024/5/22 0:14,WeChat,6,山西省,二线,6234,76803,6,2050.47,2024/11/30 23:59,66,12
100017,zhangjun,M,22,2024/3/22 15:23,App Store,20,海南省,二线,5551,78148,6,2648.64,2024/11/21 23:59,42,18
100018,gang31,M,48,2024/6/23 10:07,App Store,8,吉林省,二线,966,21394,4,631.07,2024/11/23 23:59,68,28
100019,dliang,M,23,2024/3/20 7:50,App Store,15,山东省,新一线,1269,18792,3,1222.81,2024/10/21 23:59,51,9
100020,jing55,F,22,2024/6/21 3:43,App Store,7,辽宁省,新一线,6765,41551,6,1716.87,2024/12/4 23:59,36,30
100021,yongli,M,38,2024/2/17 13:49,Android Market,1,北京市,一线,7770,75725,6,1499.5,2024/11/16 23:59,78,18
100022,yaoyang,F,56,2024/2/19 13:04,Android Market,20,海南省,二线,5551,78148,9,1669.34,2024/11/30 23:59,153,63
100023,xiakong,F,57,2024/6/25 21:58,App Store,5,河北省,二线,11784,66886,9,1096.33,2024/12/13 23:59,153,63
100024,qiangqian,F,24,2024/5/15 1:34,App Store,12,安徽省,二线,11611,90038,5,1630.61,2024/11/23 23:59,35,25
100025,yang83,F,36,2024/8/23 19:31,App Store,5,河北省,二线,11784,66886,6,1484.05,2024/12/13 23:59,30,42
100026,fang30,F,42,2024/3/4 13:46,WeChat,31,宁夏回族自治区,三线,2547,87189,4,1686.91,2024/11/1 23:59,72,28
100027,na41,M,42,2024/2/10 20:05,WeChat,29,广西壮族自治区,二线,3058,29457,7,3120.99,2024/11/21 23:59,126,21
100028,xiulanlu,F,50,2024/5/30 22:53,WeChat,7,辽宁省,新一线,6765,41551,5,577.85,2024/11/26 23:59,35,25
100029,yangwan,F,22,2024/11/12 13:10,Web,28,内蒙古自治区,二线,9774,99475,7,1327.14,2024/12/25 23:59,105,14
100030,dyuan,F,56,2024/10/22 7:00,WeChat,1,北京市,一线,7770,75725,5,889.13,2024/12/20 23:59,40,10
100031,leigao,M,19,2024/12/26 2:31,Web,34,澳门特别行政区,一线,10498,50757,4,1297.31,2024/12/30 23:59,60,12
100032,xiaxia,M,53,2024/1/24 8:17,Web,29,广西壮族自治区,二线,3058,29457,6,840.09,2024/11/13 23:59,54,12
100033,xiulan69,M,26,2024/5/28 2:54,Android Market,19,广东省,一线,5811,33897,5,705.97,2024/11/25 23:59,85,35
100034,opan,F,36,2024/4/29 3:40,App Store,33,香港特别行政区,一线,9667,62995,2,789.19,2024/10/10 23:59,14,4
100035,weiwan,M,43,2024/7/13 10:07,Android Market,29,广西壮族自治区,二线,3058,29457,4,423.84,2024/11/27 23:59,48,28
100036,cuiguiying,M,42,2024/8/20 23:08,WeChat,11,浙江省,新一线,11863,51606,11,1399.27,2024/12/20 23:59,198,66
100037,yangguo,M,38,2024/7/5 5:55,WeChat,15,山东省,新一线,1269,18792,4,845.08,2024/11/26 23:59,44,24
100038,eyang,F,28,2024/7/8 12:56,Android Market,5,河北省,二线,11784,66886,3,316.92,2024/11/17 23:59,39,6
100039,mqian,M,42,2024/4/17 9:43,App Store,3,天津市,新一线,5890,45773,3,463.59,2024/10/28 23:59,51,21
100040,qwu,M,38,2024/12/25 23:35,Android Market,15,山东省,新一线,1269,18792,5,2221.32,2024/12/30 23:59,40,10
100041,zhongguiying,M,18,2024/2/6 22:10,Android Market,6,山西省,二线,6234,76803,4,1070.88,2024/10/27 23:59,44,8
100042,yang51,Unknown,48,2024/11/21 6:13,Referral,21,四川省,新一线,6920,33483,6,1887.86,2024/12/26 23:59,90,30
100043,ping27,F,22,2024/9/30 8:54,Web,7,辽宁省,新一线,6765,41551,5,1985.59,2024/12/16 23:59,50,30
100044,leiwei,F,25,2024/3/24 16:49,WeChat,3,天津市,新一线,5890,45773,4,1419.87,2024/11/5 23:59,20,24
100045,weifan,M,18,2024/7/13 9:49,App Store,25,甘肃省,二线,6896,45920,3,394.43,2024/11/19 23:59,15,6
100046,yang89,F,52,2024/11/23 20:16,App Store,25,甘肃省,二线,6896,45920,4,1768.55,2024/12/24 23:59,36,8
100047,jiepeng,F,28,2024/4/22 11:48,App Store,7,辽宁省,新一线,6765,41551,10,3909.86,2024/12/8 23:59,170,70
100048,xiawu,M,60,2024/1/29 8:20,WeChat,30,西藏自治区,三线,8349,76557,2,388.93,2024/9/10 23:59,18,6
100049,yangmin,F,21,2024/1/17 11:29,App Store,18,湖南省,新一线,2933,86552,6,759.9,2024/11/12 23:59,102,42
100050,hcao,M,54,2024/7/24 9:44,Android Market,29,广西壮族自治区,二线,3058,29457,7,2607.86,2024/12/11 23:59,56,35
100051,li30,M,53,2024/2/3 7:40,App Store,20,海南省,二线,5551,78148,8,1944.36,2024/11/25 23:59,80,56
100052,xiulandong,M,37,2024/10/17 11:27,Web,31,宁夏回族自治区,三线,2547,87189,4,1982.78,2024/12/16 23:59,56,28
100053,tiangang,Unknown,36,2024/4/18 23:51,Android Market,10,江苏省,新一线,6078,13890,8,2722.62,2024/12/3 23:59,136,16
100054,jiezhang,F,32,2024/9/12 14:24,Android Market,13,福建省,新一线,8822,97313,5,2276.4,2024/12/13 23:59,25,15
100055,kxiao,M,42,2024/11/25 16:42,WeChat,13,福建省,新一线,8822,97313,8,3942.84,2024/12/27 23:59,144,32
100056,wei96,M,18,2024/3/14 9:38,App Store,7,辽宁省,新一线,6765,41551,7,848.98,2024/11/25 23:59,119,35
100057,xiazhou,F,59,2024/3/12 8:58,WeChat,5,河北省,二线,11784,66886,3,1208.24,2024/10/19 23:59,36,12
100058,yanlong,Unknown,38,2024/10/14 19:37,Android Market,17,湖北省,新一线,7449,53001,6,1100.11,2024/12/20 23:59,30,24
100059,pzhao,F,40,2024/5/14 21:17,App Store,24,陕西省,新一线,3885,90077,5,1462.46,2024/11/23 23:59,25,30
100060,qiang87,M,45,2024/8/7 21:14,Web,20,海南省,二线,5551,78148,4,1452.69,2024/12/2 23:59,48,12
100061,kongjun,F,49,2024/7/23 13:10,Android Market,29,广西壮族自治区,二线,3058,29457,4,1657.79,2024/11/29 23:59,24,16
100062,maochao,M,19,2024/4/22 5:02,WeChat,21,四川省,新一线,6920,33483,8,3635.82,2024/12/3 23:59,144,48
100063,xiulanjiang,F,58,2024/9/17 17:58,Web,33,香港特别行政区,一线,9667,62995,3,1048.88,2024/12/5 23:59,33,21
100064,dingyan,F,37,2024/2/16 1:42,WeChat,3,天津市,新一线,5890,45773,1,245.25,2024/7/25 23:59,6,5
100065,jingang,F,56,2024/2/26 5:33,App Store,21,四川省,新一线,6920,33483,5,648.13,2024/11/10 23:59,90,35
100066,magang,F,37,2024/11/17 5:49,App Store,21,四川省,新一线,6920,33483,7,849.73,2024/12/26 23:59,70,49
100067,leizhao,M,49,2024/12/14 15:22,Android Market,8,吉林省,二线,966,21394,6,1492.3,2024/12/29 23:59,30,12
100068,ijia,F,35,2024/11/1 2:18,App Store,23,云南省,二线,5055,27159,3,712.21,2024/12/16 23:59,39,21
100069,xiulanxu,F,32,2024/7/16 13:53,Android Market,12,安徽省,二线,11611,90038,5,1091.0,2024/12/3 23:59,75,25
100070,ykong,Unknown,34,2024/11/1 17:02,Web,29,广西壮族自治区,二线,3058,29457,6,2506.5,2024/12/23 23:59,54,24
100071,mren,M,41,2024/9/27 9:09,Android Market,12,安徽省,二线,11611,90038,1,160.41,2024/11/14 23:59,10,3
100072,duanyong,M,52,2024/10/10 0:25,App Store,9,黑龙江省,二线,4926,79092,9,2416.52,2024/12/23 23:59,162,54
100073,bmo,M,50,2024/12/14 4:10,Android Market,18,湖南省,新一线,2933,86552,5,1626.44,2024/12/29 23:59,95,30
100074,utan,M,39,2024/12/15 19:33,Web,19,广东省,一线,5811,33897,9,4204.81,2024/12/30 23:59,135,54
100075,zhengyang,M,19,2024/5/16 23:20,App Store,32,新疆维吾尔自治区,三线,3247,88953,7,2153.03,2024/12/3 23:59,49,42
100076,daina,F,38,2024/6/23 4:03,WeChat,16,河南省,新一线,11083,83969,8,2684.29,2024/12/10 23:59,88,56
100077,guiying33,M,20,2024/5/30 15:49,App Store,11,浙江省,新一线,11863,51606,7,2784.58,2024/12/5 23:59,119,21
100078,xiasu,F,46,2024/3/21 16:31,Android Market,15,山东省,新一线,1269,18792,4,1432.98,2024/11/4 23:59,56,16
100079,pinghe,F,37,2024/1/2 9:35,Android Market,32,新疆维吾尔自治区,三线,3247,88953,4,1583.21,2024/10/20 23:59,76,8
100080,qiang31,M,44,2024/9/13 6:30,App Store,4,重庆市,新一线,5691,77435,4,1646.05,2024/12/10 23:59,64,24
100081,gxiao,F,48,2024/9/16 3:52,Android Market,34,澳门特别行政区,一线,10498,50757,5,1384.18,2024/12/14 23:59,40,35
100082,zengxia,F,45,2024/11/16 10:51,Android Market,1,北京市,一线,7770,75725,3,498.27,2024/12/20 23:59,45,6
100083,dujun,M,60,2024/11/23 18:29,WeChat,8,吉林省,二线,966,21394,4,1316.22,2024/12/24 23:59,28,20
100084,pingtian,F,43,2024/11/7 7:14,App Store,3,天津市,新一线,5890,45773,5,2124.83,2024/12/22 23:59,25,20
100085,zjia,M,31,2024/3/19 13:36,App Store,9,黑龙江省,二线,4926,79092,6,1478.71,2024/11/20 23:59,96,36
100086,hanna,M,49,2024/3/23 19:38,App Store,7,辽宁省,新一线,6765,41551,9,1570.27,2024/12/3 23:59,144,18
100087,qiaolei,Unknown,57,2024/9/28 0:01,App Store,10,江苏省,新一线,6078,13890,2,927.79,2024/11/30 23:59,26,8
100088,bliao,F,34,2024/11/2 11:48,Android Market,34,澳门特别行政区,一线,10498,50757,9,1782.61,2024/12/26 23:59,54,54
100089,mgu,Unknown,59,2024/9/7 0:42,Android Market,13,福建省,新一线,8822,97313,3,660.85,2024/12/3 23:59,33,21
100090,juan09,F,22,2024/2/27 13:12,App Store,15,山东省,新一线,1269,18792,8,3486.0,2024/11/27 23:59,144,32
100091,lufang,M,51,2024/6/6 8:43,App Store,8,吉林省,二线,966,21394,8,3405.57,2024/12/8 23:59,48,24
100092,xuetao,F,59,2024/1/30 8:46,App Store,18,湖南省,新一线,2933,86552,3,518.47,2024/10/8 23:59,18,18
100093,fangwei,M,20,2024/10/17 2:52,WeChat,15,山东省,新一线,1269,18792,5,1431.98,2024/12/19 23:59,35,25
100094,hegang,M,44,2024/2/13 17:41,WeChat,17,湖北省,新一线,7449,53001,7,2260.14,2024/11/21 23:59,77,42
100095,zhengjun,F,34,2024/2/5 19:23,App Store,10,江苏省,新一线,6078,13890,5,733.37,2024/11/6 23:59,50,25
100096,kfeng,F,45,2024/3/5 4:40,Referral,5,河北省,二线,11784,66886,9,1859.61,2024/12/1 23:59,135,54
100097,xiulanyang,F,54,2024/12/3 17:18,App Store,14,江西省,二线,2185,20627,5,1978.78,2024/12/27 23:59,30,15
100098,yigang,M,60,2024/10/8 6:00,Referral,20,海南省,二线,5551,78148,5,922.73,2024/12/17 23:59,65,25
100099,lzhang,M,53,2024/5/15 19:12,Android Market,5,河北省,二线,11784,66886,4,1439.16,2024/11/15 23:59,20,28
100100,lei35,F,53,2024/11/6 15:24,App Store,6,山西省,二线,6234,76803,5,2083.19,2024/12/22 23:59,25,20
